order_id,order_date,customer_id,customer_name,customer_email,customer_segment,product_name,quantity,unit_price,discount_percent,shipping_region,shipping_city,shipping_cost,shipping_method,payment_method,payment_status,transaction_id,rating,review_text,return_flag,return_reason
ORD0012814,2024-10-21,CUST02246,Manish Yadav,manish.yadav@rediffmail.com,Silver,Gaming Chair,10,11858.38,0.27,North,Delhi,63.51,Standard,Credit Card,Paid,TXN90633,4,Late delivery,True,
ORD0001457,2024-03-05,CUST02361,Rahul Sharma,no-email,Gold,Tablet,1,24557.71,0.39,West,Mumbai,87.9,Express,COD,Paid,TXN21326,0,Good value,False,
ORD0007450,2024-01-03,CUST02943,Manish Yadav,manish.yadav@yahoo.com,Standard,Router,1,3390.24,0.11,South,Ahmedabad,28.16,Express,NetBanking,Paid,TXN35859,5,Excellent!,False,
ORD0008609,2023-08-17,CUST01757,Rahul Patel,rahul.patel@rediffmail.com,Standard,Laptop,1,61648.88,0.03,North,Pune,15.62,Standard,Debit Card,Paid,TXN65042,5,Late delivery,False,
ORD0019771,2024-04-17,CUST01340,Pooja Verma,pooja.verma@yahoo.com,Premium,Power Bank,2,1926.22,0.03,North,Lucknow,82.98,Express,Debit Card,Paid,TXN16466,3,???,,
ORD0003397,2023-12-09,CUST00548,Anjali Singh,anjali.singh@rediffmail.com,Standard,Keyboard,8,2596.51,0.01,North,Delhi,37.94,Standard,Debit Card,Failed,TXN55855,,Will buy again,False,
ORD0016269,2024-03-27,CUST02720,Meera Verma,meera.verma@gmail.com,Gold,Printer,0,12217.98,0.2,West,Kolkata,34.38,Standard,UPI,Paid,TXN74445,5,Damaged,False,
ORD0011801,2023-12-15,CUST02878,Raj Kumar,raj.kumar@yahoo.com,Standard,Router,1,3082.42,0.21,West,Mumbai,10.6,Same Day,Debit Card,Chargeback,TXN89547,0,Poor quality,False,
ORD0018705,2023-03-21,CUST02577,,@.com,Standard,Smart Watch,2,7307.6,0.37,North,Lucknow,32.24,Express,UPI,Paid,TXN46945,5,Late delivery,False,
ORD0016936,2024-07-19,CUST02699,Manish Patel,manish.patel@yahoo.com,Gold,Printer,4,12235.18,,North,Pune,3.58,Same Day,UPI,Paid,TXN50088,3,???,False,
ORD0005077,2024-12-21,CUST00515,Sunil Yadav,sunil.yadav@yahoo.com,Silver,Keyboard,7,2818.9,0.11,South,Kolkata,8.33,Pickup,Credit Card,Paid,TXN15433,2,NA,False,
ORD0014165,2024-02-06,CUST01979,Kavita Reddy,kavita.reddy@yahoo.com,Gold,Router,8,2922.02,0.26,West,Mumbai,4.25,Standard,Debit Card,Pending,TXN14069,5,Damaged,False,
ORD0013872,2023-06-08,CUST01869,Sunil Kumar,invalid@@,Silver,Router,4,2930.46,0.11,East,HYDERABAD,83.25,Standard,COD,Paid,TXN40459,4,???,False,
ORD0015360,2024-09-17,CUST00281,Priya Joshi,priya.joshi@hotmail.com,Premium,Power Bank,-2,1905.93,1.5,South, Chennai,6.16,Express,Credit Card,Paid,TXN23609,5,Will buy again,False,
ORD0015011,2023-11-10,CUST01411,Raj Yadav,raj.yadav@rediffmail.com,Standard,Speakers,5,3691.45,0.36,North,Ahmedabad,42.27,Same Day,Wallet,Paid,TXN36615,3,Average,False,
ORD0013114,2023-11-09,CUST02084,Amit Gupta,amit.gupta@hotmail.com,New,Webcam,1,2869.41,0.09,North,chennai,43.74,Express,Debit Card,Paid,TXN24341,5,Late delivery,False,
ORD0006236,2024-02-01,CUST01278,Suresh Kumar,suresh.kumar@hotmail.com,,Router,5,3401.35,0.23,South,Jaipur,24.41,Express,Credit Card,Paid,TXN90360,2,Great product!,False,
ORD0010456,2024-03-16,CUST01970,Priya Sharma,priya.sharma@hotmail.com,Silver,Power Bank,4,1734.5,0.39,West,Delhi,36.0,Standard,UPI,Paid,TXN70776,4,NA,False,
ORD0017291,2024-05-16,CUST01988,Pooja Singh,pooja.singh@yahoo.com,,External HDD,2,6090.19,0.29,South,Chennai,97.38,Standard,NetBanking,Failed,TXN96497,,Late delivery,False,
ORD0002239,2023-09-14,CUST01154,Suresh Patel,suresh.patel@gmail.com,Standard,Laptop,9,48053.83,0.09,North,Chennai,0.62,Standard,Credit Card,,TXN39338,4,Poor quality,Y,Better price
ORD0002091,2024-04-17,CUST00468,Anjali Gupta,anjali.gupta@yahoo.com,Standard,Mouse,10,726.02,0.39,East,Hyderabad,54.65,,Credit Card,Paid,TXN33493,,Poor quality,Yes,Defective
ORD0015614,2023-12-18,CUST02145,Meera Sharma,meera.sharma@rediffmail.com,Gold,Keyboard,1,2713.88,0.11,North,Lucknow,6.89,Standard,UPI,Failed,TXN46220,3,NA,,
ORD0009428,2023-01-20,CUST01869,Suresh Verma,suresh.verma@rediffmail.com,Standard,Printer,1,13566.04,0.24,North,Ahmedabad ,25.03,Pickup,Debit Card,Paid,TXN75148,5,Poor quality,False,
ORD0005140,2024-06-23,CUST02430,Amit Malhotra,amit.malhotra@hotmail.com,Silver,Router,one,3420.31,0.4,South,Chennai,91.5,Express,Credit Card,Paid,TXN85925,5,Damaged,False,
ORD0008853,2024-05-21,CUST02532,Priya Singh,priya.singh@yahoo.com,Standard,Webcam,8,free,0.4,North,Hyderabad,93.36,Standard,Debit Card,Paid,TXN35433,3,???,False,
ORD0004198,2024-01-09,CUST02607,Rahul Sharma,rahul.sharma@yahoo.com,Standard,Speakers,7,4238.34,0.24,South,Mumbai,9.1,Standard,UPI,Paid,TXN89584,5,Poor quality,No,
ORD0007815,2024-02-26,CUST00715,Vikas Verma,vikas.verma@yahoo.com,Silver,Monitor,2,14535.07,,Central,Bangalore,83.73,Same Day,Credit Card,Paid,TXN84719,3,Late delivery,False,
ORD0003503,2024-09-13,CUST00866,Shweta Kumar,shweta.kumar@rediffmail.com,Standard,Desk Lamp,1,1409.66,0.28,North,Jaipur,92.39,Standard,UPI,Paid,TXN99534,5,Great product!,False,
ORD0002200,2024-01-10,CUST01223,Rahul Yadav,rahul.yadav@gmail.com,Silver,Smart Watch,-1,7235.72,,North,Kolkata,99.91,Express,Wallet,Paid,TXN87467,5,???,False,
ORD0002347,2023-04-08,CUST01371,Raj Sharma,raj.sharma@gmail.com,Gold,Monitor,5,14271.37,0.19,North,Delhi,9.94,Express,Debit Card,Paid,TXN59770,3,Good value,No,
ORD0012786,2024-02-01,CUST00062,Manish Reddy,manish.reddy@hotmail.com,Silver,Laptop,7,56683.7,0.24,East,kolkata,89.89,Standard,COD,Refunded,TXN24413,5,Damaged,N,
ORD0010822,2024-09-20,CUST01345,,no-email,Premium,Router,1,3012.35,0.04,West,Jaipur,94.01,Standard,Debit Card,Paid,TXN74875,4,Not satisfied,False,
ORD0007110,2024-11-10,CUST00405,Alok Joshi,alok.joshi@yahoo.com,New,Speakers,5,3401.52,0.26,South,Ahmedabad,39.35,Same Day,Credit Card,Paid,TXN40146,4,Late delivery,False,
ORD0011775,2024-04-21,CUST02994,Pooja Patel,pooja.patel@gmail.com,Gold,Mouse,6,911.52,,West,Bangalore,2.91,Same Day,Debit Card,Paid,TXN70523,5,Excellent!,False,
ORD0007325,2024-02-22,CUST00377,Pooja Sharma,pooja.sharma@yahoo.com,Standard,Power Bank,1,1772.74,0.06,East,Ahmedabad,70.52,Standard,Credit Card,Paid,TXN59075,4,,False,
ORD0000448,2023-07-28,CUST02645,Rahul Joshi,rahul.joshi@yahoo.com,New,Monitor,4,contact,0.36,South,Mumbai,1.8,Standard,Debit Card,Refunded,TXN85622,3,Good value,False,
ORD0006516,2024-11-09,CUST01150,,user@domain,Silver,Headphones,1,3035.13,0.16,North,Kolkata,8.04,Standard,Credit Card,Paid,TXN49866,2,Will buy again,False,
ORD0002362,2024-04-23,CUST01623,Priya Singh,priya.singh@yahoo.com,Gold,External HDD,1,5733.77,0.04,East,Kolkata,11.97,Standard,Credit Card,Chargeback,TXN78650,3,Will buy again,False,
ORD0004412,2023-08-25,CUST02253,Vikas Malhotra,vikas.malhotra@hotmail.com,Gold,Laptop,9,53983.2,0.0,South,Kolkata,36.85,Standard,Debit Card,Paid,TXN94591,2,Late delivery,False,
ORD0013620,15/01/2024,CUST02316,Shweta Gupta,shweta.gupta@hotmail.com,Standard,Desk Lamp,4,1277.07,0.07,Central,Delhi,59.55,Standard,Credit Card,Paid,TXN39943,5,Average,False,
ORD0013741,2024-08-11,CUST02329,Neha Yadav,neha.yadav@rediffmail.com,Premium,Mouse,2,713.3,0.06,West,Mumbai,25.64,Standard,Wallet,Chargeback,TXN26406,2,Will buy again,False,
ORD0017460,2024-10-17,CUST00789,Ritu Singh,ritu.singh@gmail.com,Silver,USB Cable,3,213.65,0.08,West,Ahmedabad,18.21,Standard,Credit Card,Chargeback,TXN65356,5,Good value,False,
ORD0019031,2023-05-11,CUST01796,Alok Joshi,alok.joshi@hotmail.com,Standard,External HDD,6,5686.27,0.13,North,Lucknow,84.22,Standard,Credit Card,Paid,TXN83305,5,Damaged,Yes,
ORD0016487,2023-07-21,CUST01915,Priya Malhotra,priya.malhotra@rediffmail.com,Standard,Webcam,1,2896.09,0.27,North,Lucknow,38.29,Standard,NetBanking,Paid,TXN80286,1,Late delivery,False,
ORD0006000,2024-03-06,CUST01565,Kavita Reddy,kavita.reddy@yahoo.com,Silver,Monitor,9,16035.77,0.25,North,Delhi,89.34,Same Day,Wallet,Paid,TXN97616,5,NA,False,
ORD0018135,2024-08-21,CUST01212,Meera Reddy,meera.reddy@gmail.com,Silver,Desk Lamp,1,1596.76,0.39,North,Lucknow,17.43,Standard,UPI,Paid,TXN25544,5,Poor quality,Yes,Damaged
ORD0014821,2024-12-13,CUST01815,Alok Verma,alok.verma@yahoo.com,Standard,Keyboard,10,2392.13,-0.5,West,Chennai,62.03,Standard,COD,Pending,TXN68063,5,Great product!,False,
ORD0008587,2023-09-24,CUST00641,Priya Verma,priya.verma@hotmail.com,Premium,Keyboard,3,2521.83,0.39,East,Chennai,18.78,Express,Credit Card,Paid,TXN88482,5,Excellent!,Yes,Not needed
ORD0012061,2023-10-07,CUST01098,Suresh Sharma,suresh.sharma@gmail.com,Silver,Desk Lamp,9,1516.78,0.39,West,Hyderabad,13.96,Express,Debit Card,Paid,TXN24721,4,Great product!,False,
ORD0003367,2023-04-18,CUST02898,Raj Sharma,raj.sharma@hotmail.com,Standard,Speakers,10,3785.59,0.03,North,Chennai,93.14,Standard,NetBanking,Paid,TXN26669,5,Will buy again,False,
ORD0002154,2023-05-12,CUST02295,Shweta Malhotra,shweta.malhotra@gmail.com,Standard,Keyboard,8,2536.64,0.03,East,Delhi,94.01,Standard,,Paid,TXN16195,5,,False,
ORD0013352,2023-05-24,CUST01552,Vikas Singh,vikas.singh@rediffmail.com,Standard,Smart Watch,6,7779.77,0.38,South,Pune,89.83,Standard,Debit Card,Paid,TXN75378,2,Good value,False,
ORD0005533,2023-12-05,CUST00919,Meera Gupta,meera.gupta@yahoo.com,Silver,Phone Stand,-1,4000,,East,Jaipur,62.05,Standard,Debit Card,Paid,TXN37981,5,,False,
ORD0000386,2024-10-25,CUST00594,Kavita Malhotra,kavita.malhotra@rediffmail.com,Gold,Router,2,free,0.18,North,Bangalore,85.93,,Wallet,Paid,TXN39648,5,???,False,
ORD0010330,2024-07-01,CUST01216,NA,no-email,Silver,Printer,8,contact,0.3,South,Lucknow,99.26,Same Day,Debit Card,Paid,TXN60175,5,Damaged,False,
ORD0014240,2024-08-16,CUST00370,Shweta Singh,no-email,Gold,Gaming Chair,6,13537.95,0.08,South,Chennai,36.98,Standard,Wallet,Paid,TXN86317,5,Excellent!,False,
ORD0009110,2023-04-13,CUST00983,,user@domain,Silver,Power Bank,2,2078.2,-0.2,South,Kolkata,2.68,Pickup,Credit Card,Paid,TXN70280,4,Great product!,Y,Defective
ORD0015136,invalid,CUST00101,Vikas Sharma,vikas.sharma@yahoo.com,,Tablet,9,21412.36,0.0,East,Mumbai,51.75,Standard,Debit Card,Paid,TXN73005,4,Good value,False,
ORD0000475,2023-10-05,CUST02062,Vikas Gupta,vikas.gupta@hotmail.com,Standard,Speakers,1,4378.91,0.05,Central,Hyderabad,35.6,Express,NetBanking,Refunded,TXN10571,5,Will buy again,False,
ORD0010995,2024-07-02,CUST01087,Neha Reddy,neha.reddy@yahoo.com,Standard,Printer,1,10972.17,0.0,North,Chennai,10.72,Express,Debit Card,Paid,TXN34317,4,Late delivery,False,
ORD0008305,2023-12-03,CUST01740,Meera Singh,meera.singh@gmail.com,Gold,Headphones,-1,3498.98,0.39,North,Delhi,34.47,Standard,COD,Refunded,TXN53962,2,Damaged,True,Defective
ORD0018510,2023-09-23,CUST00732,Neha Kumar,neha.kumar@yahoo.com,Standard,USB Cable,7,225.42,0.1,North,Lucknow,38.45,Express,COD,Failed,TXN44081,,Good value,False,
ORD0004200,2024-08-13,CUST00870,Manish Sharma,manish.sharma@gmail.com,Silver,Webcam,8,2728.0,0.2,North,Kolkata,7.64,Standard,,Paid,TXN54061,2,Damaged,False,
ORD0002916,2023-08-20,CUST00351,Priya Verma,priya.verma@gmail.com,Standard,External HDD,4,5776.59,0.18,East,Bangalore,81.82,Express,UPI,Pending,TXN15503,,Poor quality,False,
ORD0009510,2024-10-18,CUST01378,Vikas Patel,vikas.patel@gmail.com,,External HDD,2,5755.51,0.32,West,Lucknow,79.41,Standard,Credit Card,Paid,TXN82109,4,Poor quality,False,
ORD0008272,2023-05-13,CUST01784,Ritu Verma,no-email,Silver,Keyboard,3,2784.67,0.23,East,Kolkata,62.21,Standard,NetBanking,Paid,TXN75245,4,,,
ORD0012590,2023-05-25,CUST00186,Kavita Joshi,kavita.joshi@gmail.com,Silver,Router,7,3209.63,0.33,North,Hyderabad,74.74,Standard,UPI,Pending,TXN54913,4,Great product!,False,
ORD0014888,2024-12-16,CUST02467,???,invalid@@,Silver,Power Bank,10,2038.56,0.35,North,Pune,62.44,Standard,UPI,Pending,TXN74365,3,Excellent!,False,
ORD0014076,2023-12-08,CUST00767,Shweta Malhotra,shweta.malhotra@yahoo.com,Silver,Router,2,2690.08,0.12,North,Hyderabad,10.1,Standard,Debit Card,Paid,TXN84739,2,Great product!,False,
ORD0010601,2023-09-13,CUST00478,,invalid@@,Standard,USB Cable,10,182.05,0.3,Central,Jaipur,8.76,Pickup,Debit Card,Paid,TXN79702,5,Damaged,Y,Not needed
ORD0015781,2024-05-13,CUST00758,Kavita Patel,kavita.patel@gmail.com,Silver,Gaming Chair,10,10452.97,0.09,North,Delhi,22.74,Standard,Debit Card,Paid,TXN44445,5,Late delivery,True,Wrong item
ORD0002335,2023-04-07,CUST02723,Raj Yadav,raj.yadav@rediffmail.com,Silver,Webcam,6,2776.15,0.24,South,Chennai,97.22,,UPI,Paid,TXN16497,4,Poor quality,False,
ORD0000829,2024-09-10,CUST00853,Manish Sharma,manish.sharma@gmail.com,Standard,Monitor,7,15632.71,0.03,East,Ahmedabad,98.84,Standard,NetBanking,Failed,TXN87018,5,Late delivery,False,
ORD0009530,2024-03-14,CUST01708,Anjali Sharma,anjali.sharma@gmail.com,Silver,Phone Stand,8,798.78,0.03,East,Jaipur,50.98,Pickup,Debit Card,Paid,TXN38501,5,???,False,
ORD0005934,2023-01-10,CUST01005,Kavita Gupta,kavita.gupta@hotmail.com,Standard,Laptop,10,47269.04,0.28,North,Delhi,28.94,Standard,Credit Card,Paid,TXN15426,4,,False,
ORD0009240,2024-11-22,CUST01411,Suresh Sharma,suresh.sharma@gmail.com,Silver,External HDD,5,5806.58,0.3,North,Kolkata,59.88,Express,Credit Card,Paid,TXN92022,5,Poor quality,False,
ORD0009614,2024-06-14,CUST00127,Amit Gupta,invalid@@,Premium,Monitor,5,16154.49,0.02,South,Jaipur,27.54,Express,COD,Paid,TXN38638,5,Poor quality,,
ORD0011176,2023-08-11,CUST02682,Raj Malhotra,raj.malhotra@rediffmail.com,Gold,Phone Stand,1,862.09,0.18,North,Kolkata,94.51,Express,Credit Card,Chargeback,TXN47590,0,Damaged,N,
ORD0007703,2024-02-27,CUST01791,Ritu Reddy,ritu.reddy@rediffmail.com,Silver,External HDD,5,5148.98,0.08,West,Bangalore,31.58,Standard,Debit Card,Paid,TXN12462,,Good value,True,Better price
ORD0014936,2024-04-20,CUST02626,Neha Gupta,neha.gupta@yahoo.com,Silver,Desk Lamp,5,1291.3,0.33,East,Delhi,9.51,Standard,Debit Card,Paid,TXN12262,4,Damaged,False,
ORD0007811,2023-11-13,CUST00622,Kavita Gupta,kavita.gupta@hotmail.com,Gold,Printer,6,12936.65,0.19,West,Ahmedabad,39.96,Standard,Credit Card,Paid,TXN18379,4,Late delivery,False,
ORD0006654,2023-06-23,CUST02108,Amit Malhotra,amit.malhotra@rediffmail.com,Premium,Laptop,1,48106.35,0.21,East,Delhi,79.84,Standard,UPI,Paid,TXN26700,5,Excellent!,False,
ORD0010556,2023-11-20,CUST01392,Raj Reddy,raj.reddy@rediffmail.com,Standard,Smart Watch,8,8767.58,0.09,East,Kolkata,0.47,Express,Wallet,Paid,TXN38492,4,Damaged,False,
ORD0019198,2023-01-22,CUST02858,Amit Singh,amit.singh@hotmail.com,Premium,Keyboard,6,2595.89,0.13,East,Mumbai,30.99,Standard,Debit Card,Paid,TXN20211,5,Excellent!,False,
ORD0015562,2024-11-04,CUST00854,Vikas Joshi,vikas.joshi@rediffmail.com,New,Desk Lamp,2,1634.27,-0.5,South,PUNE,46.04,Standard,Debit Card,Paid,TXN53119,1,Great product!,True,
ORD0008553,2023-07-01,CUST00807,Shweta Patel,shweta.patel@rediffmail.com,Gold,Mouse,1,758.57,0.0,Central,Lucknow,20.19,Express,COD,Paid,TXN36834,5,Excellent!,False,
ORD0001202,2024-05-27,CUST01298,Ritu Patel,ritu.patel@hotmail.com,Gold,Gaming Chair,10,12940.5,0.32,East,Hyderabad,92.21,Standard,Credit Card,Paid,TXN40369,5,NA,False,
ORD0007672,2023-03-04,CUST01621,Kavita Malhotra,kavita.malhotra@gmail.com,Standard,Keyboard,two,2295.56,0.14,West,Jaipur,64.3,Express,Debit Card,Paid,TXN49720,3,Damaged,False,
ORD0013912,2023-12-04,CUST02821,Manish Reddy,manish.reddy@hotmail.com,Standard,Smart Watch,10,8763.0,0.38,North,Jaipur,40.2,Standard,Debit Card,Paid,TXN87276,,Damaged,False,
ORD0012805,2024-06-07,CUST02642,Manish Joshi,manish.joshi@rediffmail.com,Standard,Laptop,10,51893.79,0.34,East,Ahmedabad,27.56,Standard,Debit Card,,TXN80378,3,Damaged,False,
ORD0008077,2024-11-23,CUST00999,,,New,Power Bank,3,2234.89,0.28,South,Chennai,10.27,Standard,UPI,Paid,TXN91592,4,Average,False,
ORD0001053,2023-10-02,CUST01523,Manish Patel,manish.patel@yahoo.com,Premium,Webcam,4,3414.86,0.18,North,Chennai,98.64,Standard,COD,Paid,TXN38098,5,Damaged,False,
ORD0018292,2023-10-28,CUST01688,Manish Yadav,manish.yadav@rediffmail.com,Silver,External HDD,7,6456.52,0.07,East,Pune,21.25,Express,Credit Card,Paid,TXN96794,3,???,False,
ORD0009508,2023-02-06,CUST00488,Manish Sharma,manish.sharma@yahoo.com,Gold,USB Cable,9,192.43,0.08,South,Lucknow,66.17,Standard,Wallet,Paid,TXN77136,4,Average,False,
ORD0000134,2023-02-25,CUST02654,Vikas Singh,vikas.singh@rediffmail.com,Standard,Laptop,3,49488.47,0.09,South,Kolkata,83.34,Standard,Debit Card,Paid,TXN76249,3,Will buy again,False,
ORD0012191,2023-12-17,CUST02189,Ritu Singh,ritu.singh@yahoo.com,Standard,Phone Stand,2,706.65,0.27,North,Pune,41.77,Standard,Credit Card,Paid,TXN20932,5,Excellent!,False,
ORD0003887,2023-08-09,CUST00584,Manish Verma,manish.verma@yahoo.com,Standard,Phone Stand,2,859.11,0.28,North,Pune,60.93,Standard,UPI,Paid,TXN36174,,Poor quality,Yes,
